ID,kind,mean_hue,mean_sat,mean_val,edge_percent,fourth_LBP,eighth_LBP,Red percentage,Yellow percentage,Green percentage,circles_s
fun1059,fun,20.982767489711936,103.66419110082305,143.04806455761317,24.895511831275723,9887,3494,32.65179677819083,16.494561475974116,0.3923998347790169,1.0
fun1060,fun,19.41253480311381,100.6627535655435,142.93968975509972,24.908233422353543,14229,4841,32.4062312762133,17.020970641102455,0.2959856201318154,4.0
fun1061,fun,18.85223120425441,101.38150276019472,143.55409644378983,24.604521997234183,14518,4758,33.31754901032295,16.42437730845724,0.2367648451557912,5.0
fun1062,fun,21.31758648721886,106.15219943997832,140.6839490560925,26.29392105500858,7116,2661,33.39543092460045,15.62898323365036,0.3235611334444553,1.0
fun1063,fun,18.682546077147748,104.66115419478297,137.25200926578708,23.06778124685265,8294,2365,37.76517178636412,11.713582361125976,0.0856256020550144,1.0
fun1064,fun,23.48798606485988,103.17349761770582,141.2435319432348,25.35990573287566,6429,2211,29.31523613506147,19.644545808533127,0.5173276965010848,0.0
fun1065,fun,22.874019930731148,103.58464186303466,141.0224167605125,24.61169071244927,7581,2631,30.232345198580752,19.18049673801076,0.4120407462515738,1.0
fun1066,fun,22.768340511537257,102.02394071364982,143.8983903178461,24.708260147734656,6884,2326,26.04783451842276,22.38655462184873,0.5921137685843568,0.0
fun1067,fun,19.520584257506087,100.5154179064106,145.06386259129025,23.49607790100081,12562,3508,29.99856589703141,19.08934461494335,0.3011616234045604,3.0
fun1068,fun,16.35709132881258,117.10156062136296,145.05012504208148,22.79132400327033,13517,4092,21.927710843373493,27.71849301969784,0.0675718748007904,5.0
fun1069,fun,22.140853881040503,103.33052702914038,140.81931918886514,25.022155033102223,6553,1940,25.852731860840965,21.42391335166861,0.5358813689075392,0.0
fun1070,fun,22.02274588066728,106.69429945757857,139.67516119128032,26.15904206324839,6218,2169,28.059294693514296,20.758705083991547,0.2948047613750139,0.0
fun1071,fun,20.01088160184411,99.49424845759226,142.63951727722662,24.206196750209045,14333,4616,29.961440351189417,20.09017025568013,0.2396630479919321,3.0
